record_id,title,description,source_url,organisation,organisation_type,function,capability,phase,region,date_published,atrs_version_raw,atrs_version,public_updated_at,accountability,human_oversight,contestability,impact_assessment,risks_mitigations,model_performance,data_governance,monitoring_maintenance,indicator_count,disclosure_score,field_count,substantive_field_count,field_completeness_ratio
132a4abe-d4d4-4db9-a63f-902eda4c1530,AI Writing Assistant (Social Care),An AI service to suggest wording for sections of a children's home inspection report based on the written evidence collected during its full inspection.,https://www.gov.uk/algorithmic-transparency-records/ai-writing-assistant-social-care,ofsted,agency-or-public-body,education|regulation,computer-linguistics,private-beta,england,2025-11-12,v4.0,v4.0,2025-11-10T12:20:06+00:00,True,True,True,True,True,True,True,True,8,100.0,51,41,0.804
92bba653-81ee-467c-a271-374752fe72d0,Barnet Council: Ami Chatbot,Implementing an automated webchat functionality ('chatbot') to the Barnet Council website to provide a better customer experience. ,https://www.gov.uk/algorithmic-transparency-records/barnet-council-ami-chatbot,london-borough-of-barnet,local-authority,general-public-services|housing-and-community-amenities,computer-linguistics,beta-pilot,london,2025-01-28,v3.0,v3.0,2025-01-28T07:12:03+00:00,True,True,False,False,True,True,True,True,6,75.0,42,34,0.81
e8f3123b-fe90-49c9-8a79-24cf6918b357,BDUK: Intervention Area Design Algorithms,"The model is a rule-based geospatial classification system that analyses Unique Property Reference Numbers, subsidy data, and commercial plans, applying sequential filtering algorithms and geospatial decision rules to determine gigabit intervention eligibility.",https://www.gov.uk/algorithmic-transparency-records/bduk-intervention-area-design-algorithms,department-for-science-innovation-and-technology,agency-or-public-body,housing-and-community-amenities,analysis,production,uk,2025-09-15,v3.0,v3.0,2025-09-15T08:50:18+01:00,True,True,True,True,True,True,True,True,8,100.0,45,41,0.911
e79acd78-c31d-4eb6-aa88-701021a9aafe,BDUK: Project Gigabit Voucher Eligibility Engine,An algorithm to assess whether a UK premise is eligible for a Project Gigabit Voucher.,https://www.gov.uk/algorithmic-transparency-records/bduk-project-gigabit-voucher-eligibility-engine,department-for-science-innovation-and-technology,agency-or-public-body,housing-and-community-amenities,planning,production,uk,2025-06-11,3.0,v3.0,2025-04-28T19:31:05+01:00,True,True,True,True,True,True,True,True,8,100.0,50,46,0.92
c2afc11b-5c0d-4baf-9eb0-c9e1218e1e9a,"Bristol City Council: Not In Education, Employment or Training Model","The NEET (Not in Education, Employment, or training) Model is hosted on the Think Family Database (TFD) and used to help safeguarding professionals from Bristol City Council to coordinate support for families who are at risk of becoming NEET. ",https://www.gov.uk/algorithmic-transparency-records/bristol-city-council-not-in-education-employment-or-training-model,bristol-city-council,agency-or-public-body,social-protection,forecasting,production,south-west,2025-01-28,v1.1,v1.1,2025-01-28T07:12:20+00:00,True,True,True,True,True,False,True,True,7,87.5,37,29,0.784
2a0a87bc-e200-4579-b7e7-794afb21ca62,Cabinet Office: Assist,"Assist is a bespoke Generative AI tool to support members of the government communications profession in their roles in tasks such as brainstorming, creating first draft content and reviewing work.",https://www.gov.uk/algorithmic-transparency-records/cabinet-office-assist,cabinet-office,ministerial-department,general-public-services,computer-linguistics,production,uk,2025-06-04,v3,v3.0,2026-07-30T16:05:13+01:00,True,True,True,True,True,True,True,True,8,100.0,50,44,0.88
9a42f453-bc32-4338-b008-71aa0eae247d,Cabinet Office: Automated Digital Document Review,An algorithm to assist in the identification of digital records of long-term historic value and digital information assets that hold no long-term value.,https://www.gov.uk/algorithmic-transparency-records/cabinet-office-automated-digital-document-review,cabinet-office,ministerial-department,general-public-services,management,production,northern-ireland|scotland|wales|england,2024-01-11,v2.1,v2.1,2024-02-29T17:48:00+00:00,True,True,True,True,False,True,True,True,7,87.5,39,33,0.846
d5b59b44-f06d-440a-9c50-39c118ea8298,Cabinet Office: Civil Service Verbal and Numerical Tests,"Online tests that are commonly used in recruitment as part of a sift to assess aptitude, potential and whether a person meets the requirements",https://www.gov.uk/algorithmic-transparency-records/cabinet-office-civil-service-verbal-and-numerical-tests,cabinet-office,ministerial-department,general-public-services,analysis,production,uk,2025-12-16,v3.0,v3.0,2025-12-16T12:11:29+00:00,True,True,True,True,True,True,True,True,8,100.0,50,45,0.9
30622c3f-229b-43b5-8b61-477bff7c2b8c,Cafcass: Genesys ChatBot,A chatbot to assist website and telephone users find information faster.,https://www.gov.uk/algorithmic-transparency-records/cafcass-genesys-chatbot,ministry-of-justice,agency-or-public-body,social-protection,computer-linguistics,production,england,2024-12-17,v3.0,v3.0,2024-12-17T08:03:20+00:00,True,True,True,True,True,True,True,True,8,100.0,50,46,0.92
be0fa272-45ff-45aa-b81d-8f22fbde7669,Camden Council: RentSense,RentSense analyses rent transaction data from Council Housing tenants' rent accounts to present a prioritised list of arrears cases recommended for contact via a standalone case management portal. This will be used alongside the existing Housing system to manage tenancies.,https://www.gov.uk/algorithmic-transparency-records/camden-council-rentsense,camden-council,local-authority,housing-and-community-amenities,analysis|management,beta-pilot,london,2025-01-28,v3.0,v3.0,2025-01-28T07:08:46+00:00,True,True,True,False,True,True,True,True,7,87.5,42,38,0.905
a4158966-a031-4262-a800-e3b296623c5a,Care Quality Commission: Fees Calculator Application,"The Fees Calculator Application analyses information supplied by care providers based in England to determine the correct invoice value payable by provider, based on a set of pre-determined rules.",https://www.gov.uk/algorithmic-transparency-records/care-quality-commission-fees-calculator-application,department-for-health-and-social-care,agency-or-public-body,health,,production,england,2026-03-30,v4.0,v4.0,2026-03-30T10:18:48+01:00,True,True,False,True,True,False,True,True,6,75.0,34,29,0.853
66896813-f95a-489e-8c8f-60c4cf808245,Care Quality Commission: Relativity Active Learning ,"Active Learning is a technology assisted review tool that helps the Care Quality Commission (CQC) quickly organise its data and predict which documents are most likely to be relevant to reviewers, the legal team and therefore inquiries.",https://www.gov.uk/algorithmic-transparency-records/care-quality-commission-relativity-active-learning,department-for-health-and-social-care,agency-or-public-body,health,,private-beta,england,2026-03-30,v4.0,v4.0,2026-03-30T10:18:27+01:00,True,True,True,True,True,True,True,True,8,100.0,42,38,0.905
